year,faculty_book,dept,course_code,title,nqf_credits,nqf_level,convener,entry_requirements,outline,lecture_times,dp_requirements,assessment,pre_notes,source_page
2021,COM,College of Accounting,ACC1012S,BUSINESS ACCOUNTING,18,5,J Kew,A minimum 40% final mark for ACC1006.,"This course builds on the foundation developed in Financial Accounting and is geared towards students who will not continue with financial reporting after first year. The course is designed to focus on analysing and interpreting financial statements as well as expose students to the remaining accounting disciplines namely taxation, management accounting and corporate governance.","Mon, Tues, Wed, Thurs, Fri 14:00 – 15:00",75% participation (details will be provided in course documentation) and a weighted average of 40% for class tests.,"Coursework: 35%-50% Exam: 50%-65% (final weightings will be provided in the course documentation, and will be determined by the modes of delivery and assessment permissible in terms of the public health restrictions in place)",This course is a terminating course and does not lead to a 2000 level Accounting course.,132
2021,COM,College of Accounting,ACC1106F,FINANCIAL ACCOUNTING,18,5,C Fourie,Admission to degree. NSC level 5 in Mathematics and level 4 in English HL (or level 5 in English FAL),Financial Accounting is predominantly an applied discipline that is based on broad conceptual principles. It starts with an understanding of the business cycle and various decisions taken in a business. Particular emphasis is placed on recording financial transactions in accounting records and interpreting financial transactions through the application of definitions and recognition criteria as set out in accounting framework. Students will also be required to prepare and present basic financial statements.,"Tues, Wed, Thurs, Fri 10:00 – 11:00, 11:00 – 12:00",75% participation (details will be provided in the course documentation) and a weighted average of 40% for class tests,"Coursework: 35% -50% Exam: 50%-65% (final weightings will be provided in the course documentation, and will be determined by the modes of delivery and assessment permissible in terms of the public health restrictions in effect)",Students in this course write the same class tests and final examination as the ACC1006 students,133
2021,COM,College of Accounting,ACC2011S,FINANCIAL REPORTING I,18,6,J Winfield,A minimum 40% final mark for ACC1006,"Financial Reporting 1 covers the second semester of the first-year accounting syllabus. The standard has been set to the level required for those intending to become Chartered Accountants and it is, therefore, an extremely demanding course. Financial reporting is predominantly an applied discipline based on broad conceptual principles which are introduced in Financial Accounting ACC1006, the first-semester, first-year course. Students’ understanding of these principles is strengthened in Financial Reporting 1, partly through their application to transactions and business events with a greater level of technical challenge. Students are also encouraged to debate some of the unresolved or controversial issues in financial reporting.","(if applicable) Tues, Wed, Thurs, Fri 13:00 – 14:00; 14:00 – 15:00",75% participation (details will be provided in the course documentation) AND a weighted average of 40% for class tests.,"Coursework: 35%-50% Exam 50%-65% (final weightings will be provided in the course documentation, and will be determined by the modes of delivery and assessment permissible in terms of the public health restrictions in effect)",Students require an overall average of at least 60% for Financial Reporting I to proceed to Financial Reporting II (ACC2012W).,133
2021,COM,College of Accounting,ACC2012W,FINANCIAL REPORTING II,36,7,A Dhansay and M Zietsman,"A pass in ACC1006 or equivalent, a minimum mark of 60% for ACC2011 or equivalent. Concurrent registration or a previous pass in ACC2022, ACC2023 and MAM1010.",This course integrates knowledge from first year accounting and Financial Reporting I. Students should be able to prepare and present separate and group financial statements within the scope of the Conceptual Framework for Financial Reporting and the International Financial Reporting Standards (‘IFRS’) upon completion of this course.,"Tues, Wed, Thurs, Fri 08:00 – 09:00, 09:00 – 10:00.",Participation in 75% of course activities and a weighted average of 40% for deliverables. Please refer to course documentation for further detail.,Coursework: 45%. Exam: 55%,NB: Students require an overall average of 60% for Financial Reporting II to proceed to Financial Reporting III (ACC3009W).,134
2021,COM,College of Accounting,ACC2018S,"GOVERNANCE, AUDIT AND ASSURANCE I",18,6,S Shamsoodien J Dean T Adams,A pass in ACC2011S or ACC1012S and INF1002. ACC1006 ACC2011S,"The course builds on the foundations of Financial Accounting and Reporting, Information Systems and general understanding of business. The course introduces students to the foundational principles of business cycles (systems) and internal control, where “Governance” refers to the system by which an entity is directed and controlled and “Internal Control” refers to the process in place to ensure the entity’s objectives with regard to reliability of financial reporting, effectiveness and efficiency of operations, and compliance with applicable laws and regulations. An introduction to the discipline of Management Accounting; the analysis of cost systems, cost classification, and cost behaviour; product costing including job costing and process costing; the allocation of costs from service departments; absorption and variable costing; activity based costing; cost-volume-profit relationships, relevant costing and cost benefit analyses; budgeting systems; standard costing and flexible budgeting; financial performance measurement in business segments. The primary aim is to provide students with a start to obtaining knowledge of the income tax legislation in order to enable them to apply such knowledge in problem-solving situations. The focus of this course is on normal tax.","Mon, Tues, Wed, Thurs 09:00 – 10:00; 15:00 – 16:00 ACC2022F Mon, Tues, Wed, Thurs 13:00 – 14:00; 14:00 – 15:00; ACC2022S Mon, Tues, Wed, Thurs 13:00 – 14:00; 14:00 – 15:00 ACC2023F Mon, Tues, Wed, Thurs 09:00 – 10:00; ACC2023S Mon, Tues, Wed, Thurs 10:00 – 11:00",Attendance at and submission of a minimum of 75% of tutorials AND a weighted average of 40% for class tests (excluding objective tests) AND a weighted average of 40% for assignments. Attendance at and submission of a minimum of 75% of tutorials AND a weighted average of 40% for class tests (excluding objective tests). Attendance at and submission of specified activities. Please refer to the course document for further details.,Coursework: 40%Exam: 60% ACC2022F/S MANAGEMENT ACCOUNTING I 18 NQF credits at NQF level 6 Course work 40% Exam 60%. ACC2023F/S TAXATION I 18 NQF credits at NQF level 6 Coursework: 40% Exam: 60%,,134
2021,COM,College of Accounting,ACC2111S,FINANCIAL REPORTING I,18,6,C Fourie,Minimum 40% final mark for ACC1006,"Financial Reporting 1 covers the second semester of the first-year accounting syllabus. The standard has been set to the level required for those intending to become Chartered Accountants and it is, therefore, an extremely demanding course. Financial reporting is predominantly an applied discipline based on broad conceptual principles which are introduced in Financial Accounting ACC1106, the first-semester, first-year course. Students’ understanding of these principles is strengthened in Financial Reporting 1, partly through their application to transactions and business events with a greater level of technical challenge. Students are also encouraged to debate some of the unresolved or controversial issues in financial reporting.","Tues, Wed, Thurs, Fri 10:00 – 11:00, 11:00 – 12:00. Head Space: Support tutorial to be held on a Monday 10:00-11:00 or 11:00-12:00",75% participation (details will be provided in the course documentation) AND a weighted average of 40% for class tests.,"Coursework: 35% -50% Exam: 50%-65% (final weightings will be provided in the course documentation, and will be determined by the modes of delivery and assessment permissible in terms of the public health restrictions in effect)",NB: Students require an overall average of 60% for Financial Reporting I to proceed to Financial Reporting II (ACC2012W).,135
2021,COM,College of Accounting,ACC3004H,TAXATION II,18,7,K Hendrickse,"A pass in ACC2023, and concurrent registration or a previous pass in","This course builds on the basic principles of taxation taught in Taxation I. The aim of the course is to develop proficiency in the application of tax knowledge, with a focus on understanding and applying relevant taxation legislation, identification of relevant case law and applying these in the context of real-life scenarios.","Mon, Tue, Wed, Thurs 14:00 – 15:00",Attendance at and submission of a minimum of 75% of tutorials AND a weighted average of 40% for class tests (excluding objective tests) AND a weighted average of 40% for assignments.,Coursework: 40% Exam: 60%,,135
2021,COM,College of Accounting,ACC3009W,FINANCIAL REPORTING III,36,7,J Garach,"Minimum 60% final mark for ACC2012W, and a pass in ACC2023","The objective of Financial Reporting III within the CA(SA) qualification process is to ensure that students display competencies related to the recording, recognition, measurement and presentation of financial and non-financial information in accordance with International Financial Reporting Standards (IFRS). It does so by building on the basic principles of accounting taught in Financial Reporting I and II. Particular emphasis is placed on the application of full IFRS and the application of various accounting principles in a group situation.","Mon, Tue, Wed, Thurs 08:00 – 09:00",Attendance at a minimum of 75% of tutorials AND a weighted average of 40% for class tests (excluding objective tests) AND a weighted average of 40% for assignments.,Coursework: 40% Exam: 60%,,136
2021,COM,College of Accounting,ACC3020W,FINANCIAL REPORTING AND ANALYSIS,36,7,S Fakier,"A pass in ACC2012W, and a DP for ACC2023","This course provides a broad-based accounting major that ensures preparation for the business and financial reporting environment. The focus is on the understanding and interpretation of advanced accounting concepts and financial reporting and to provide a basis for further postgraduate studies in financial accounting and related disciplines; in particular to provide a grounding for professional qualifications issued by bodies such as SAIPA, ACCA and CIMA.","Mon, Tues, Wed, Thurs, 12:00 – 13:00",Attendance at a minimum of 75% of tutorials AND a weighted average of 40% for class tests (excluding objective tests) AND a weighted average of 40% for assignments.,Coursework: 50% Exam: 50%,,136
2021,COM,College of Accounting,ACC3022H,"GOVERNANCE, AUDIT AND ASSURANCE II",18,7,S West,"ACC2018S and ACC2012W, concurrent registration or a previous pass in INF2004F","This course covers most of the key concepts contained in the auditing, assurance and related services syllabus for the Initial Test of Competence (ITC) for entrance into the accountancy profession. On successful completion of the course a student will have an understanding of the principles and rationale of auditing and the ability to solve basic practical auditing problems.","Mon, Tues, Wed, Thurs, 14:00 – 15:00",Attendance at a minimum of 75% of tutorials AND a weighted average of 40% for class tests (excluding objective tests) AND a weighted average of 40% for assignments.,Coursework: 40% Exam: 60%,,136
