year,faculty,plan_code,study_year,table_index,stated_total_credits,stated_total_max,is_minimum,source_page
2021,COM,CB001ACC03,1,1,149,,False,83
2021,COM,CB001ACC03,2,1,162,,False,83
2021,COM,CB001ACC03,3,1,144,,False,84
2021,COM,CB001ACC04,1,1,149,,False,82
2021,COM,CB001ACC04,2,1,162,,False,83
2021,COM,CB001ACC04,3,1,144,,False,83
2021,COM,CB001ACC08,1,1,149,,False,81
2021,COM,CB001ACC08,2,1,162,,False,82
2021,COM,CB001ACC08,3,1,144,,False,82
2021,COM,CB001BUS06,1,1,185,,False,92
2021,COM,CB001BUS06,2,1,168,,False,92
2021,COM,CB001BUS06,3,1,144,,False,93
2021,COM,CB001ECO02,1,1,167,,False,88
2021,COM,CB001ECO02,2,1,150,,True,89
2021,COM,CB001ECO02,3,1,144,,False,89
2021,COM,CB001ECO03,1,1,149,,False,91
2021,COM,CB001ECO03,2,1,162,,True,91
2021,COM,CB001ECO03,3,1,162,,False,92
2021,COM,CB001ECO04,1,1,167,,False,89
2021,COM,CB001ECO04,2,1,156,,False,90
2021,COM,CB001ECO04,3,1,180,,False,90
2021,COM,CB001INF01,1,1,149,,False,84
2021,COM,CB001INF01,2,1,126,,False,84
2021,COM,CB001INF01,3,1,156,,False,84
2021,COM,CB001INF06,1,1,149,,False,85
2021,COM,CB001INF06,2,1,162,,False,85
2021,COM,CB001INF06,3,1,144,,False,86
2021,COM,CB001INF11,1,1,167,,False,86
2021,COM,CB001INF11,2,1,162,,False,86
2021,COM,CB001INF11,3,1,150,,False,87
2021,COM,CB001PHI03,1,1,149,,False,87
2021,COM,CB001PHI03,2,1,174,,False,87
2021,COM,CB001PHI03,3,1,168,,False,88
2021,COM,CB003BUS01,1,1,185,,False,35
2021,COM,CB003BUS01,2,1,186,,False,35
2021,COM,CB003BUS01,3,1,180,,False,35
2021,COM,CB003BUS01,4,1,174,,False,36
2021,COM,CB003BUS09,1,1,185,,False,36
2021,COM,CB003BUS09,2,1,186,,False,36
2021,COM,CB003BUS09,3,1,198,,False,36
2021,COM,CB003BUS09,4,1,147,,False,37
2021,COM,CB004BUS07,1,1,167,,False,47
2021,COM,CB004BUS07,2,1,168,,False,47
2021,COM,CB004BUS07,3,1,180,,False,47
2021,COM,CB004BUS07,4,1,180,,False,48
2021,COM,CB004BUS08,1,1,167,,False,48
2021,COM,CB004BUS08,2,1,162,,False,48
2021,COM,CB004BUS08,3,1,180,,False,49
2021,COM,CB004BUS08,4,1,156,,False,49
2021,COM,CB004BUS22,1,1,185,,False,37
2021,COM,CB004BUS22,2,1,186,,False,37
2021,COM,CB004BUS22,3,1,198,,True,38
2021,COM,CB004BUS22,4,1,178,,False,38
2021,COM,CB004CSC05,1,1,147,,False,41
2021,COM,CB004CSC05,2,1,162,,False,41
2021,COM,CB004CSC05,3,1,180,,False,41
2021,COM,CB004CSC05,4,1,166,,False,42
2021,COM,CB004ECO01,1,1,167,,False,43
2021,COM,CB004ECO01,2,1,150,,False,44
2021,COM,CB004ECO01,3,1,162,,False,44
2021,COM,CB004ECO01,4,1,156,,False,45
2021,COM,CB004ECO03,1,1,167,,False,45
2021,COM,CB004ECO03,2,1,168,,False,45
2021,COM,CB004ECO03,3,1,144,,False,46
2021,COM,CB004ECO03,4,1,174,,False,46
2021,COM,CB004FTX04,1,1,167,,False,40
2021,COM,CB004FTX04,2,1,168,,False,40
2021,COM,CB004FTX04,3,1,180,,False,40
2021,COM,CB004FTX04,4,1,162,,False,40
2021,COM,CB004FTX05,1,1,167,,False,39
2021,COM,CB004FTX05,2,1,168,,False,39
2021,COM,CB004FTX05,3,1,180,,False,39
2021,COM,CB004FTX05,4,1,144,,False,39
2021,COM,CB004INF01,1,1,185,,False,42
2021,COM,CB004INF01,2,1,168,,False,42
2021,COM,CB004INF01,3,1,156,,False,43
2021,COM,CB004INF01,4,1,176,,False,43
2021,COM,CB011ACC03,1,1,113,,False,117
2021,COM,CB011ACC03,2,1,126,,False,117
2021,COM,CB011ACC03,3,1,126,,False,117
2021,COM,CB011ACC03,4,1,90,,False,117
2021,COM,CB011ACC04,1,1,131,,False,116
2021,COM,CB011ACC04,2,1,144,,False,116
2021,COM,CB011ACC04,3,1,126,,False,116
2021,COM,CB011ACC04,4,1,108,,False,116
2021,COM,CB011ACC08,1,1,131,,False,115
2021,COM,CB011ACC08,2,1,126,,False,115
2021,COM,CB011ACC08,3,1,126,,False,115
2021,COM,CB011ACC08,4,1,108,,False,115
2021,COM,CB011BUS06,1,1,131,,False,126
2021,COM,CB011BUS06,2,1,108,,False,127
2021,COM,CB011BUS06,3,1,132,,False,127
2021,COM,CB011BUS06,4,1,126,,False,127
2021,COM,CB011ECO02,1,1,113,,False,119
2021,COM,CB011ECO02,2,1,108,,False,119
2021,COM,CB011ECO02,3,1,132,,False,120
2021,COM,CB011ECO02,4,1,108,,False,120
2021,COM,CB011ECO03,1,1,131,,False,122
2021,COM,CB011ECO03,2,1,108,,False,122
2021,COM,CB011ECO03,3,1,108,,False,123
2021,COM,CB011ECO03,4,1,198,,False,123
2021,COM,CB011ECO04,1,1,113,,False,120
2021,COM,CB011ECO04,2,1,108,,False,121
2021,COM,CB011ECO04,3,1,144,,True,121
2021,COM,CB011ECO04,4,1,162,,False,122
2021,COM,CB011INF01,1,1,113,,False,123
2021,COM,CB011INF01,2,1,108,,False,123
2021,COM,CB011INF01,3,1,120,,False,124
2021,COM,CB011INF01,4,1,108,,False,124
2021,COM,CB011INF06,1,1,113,,False,124
2021,COM,CB011INF06,2,1,108,,False,125
2021,COM,CB011INF06,3,1,108,,False,125
2021,COM,CB011INF06,4,1,126,,False,125
2021,COM,CB011INF11,1,1,131,,False,125
2021,COM,CB011INF11,2,1,108,,False,126
2021,COM,CB011INF11,3,1,126,,False,126
2021,COM,CB011INF11,4,1,114,,False,126
2021,COM,CB011PHI03,1,1,113,,False,118
2021,COM,CB011PHI03,2,1,108,,False,118
2021,COM,CB011PHI03,3,1,102,,False,118
2021,COM,CB011PHI03,4,1,162,,True,119
2021,COM,CB015BUS07,1,1,131,,False,77
2021,COM,CB015BUS07,2,1,132,,False,77
2021,COM,CB015BUS07,3,1,108,,False,77
2021,COM,CB015BUS07,4,1,144,,False,77
2021,COM,CB015BUS07,5,1,180,,False,77
2021,COM,CB015BUS08,1,1,131,,False,78
2021,COM,CB015BUS08,2,1,132,,False,78
2021,COM,CB015BUS08,3,1,126,,False,78
2021,COM,CB015BUS08,4,1,120,,False,79
2021,COM,CB015BUS08,5,1,156,,False,79
2021,COM,CB015BUS22,1,1,113,,False,66
2021,COM,CB015BUS22,2,1,108,,False,67
2021,COM,CB015BUS22,3,1,168,,False,67
2021,COM,CB015BUS22,4,1,180,,True,67
2021,COM,CB015BUS22,5,1,178,,False,67
2021,COM,CB015CSC05,1,1,113,,False,70
2021,COM,CB015CSC05,2,1,126,,False,71
2021,COM,CB015CSC05,3,1,132,,False,71
2021,COM,CB015CSC05,4,1,126,,False,71
2021,COM,CB015CSC05,5,1,166,,False,71
2021,COM,CB015ECO01,1,1,131,,False,73
2021,COM,CB015ECO01,2,1,126,,False,73
2021,COM,CB015ECO01,3,1,138,,False,74
2021,COM,CB015ECO01,4,1,90,,True,74
2021,COM,CB015ECO01,5,1,156,,False,74
2021,COM,CB015ECO03,1,1,131,,False,75
2021,COM,CB015ECO03,2,1,114,,False,75
2021,COM,CB015ECO03,3,1,126,,False,75
2021,COM,CB015ECO03,4,1,126,,False,76
2021,COM,CB015ECO03,5,1,166,,False,76
2021,COM,CB015FTX04,1,1,131,,False,69
2021,COM,CB015FTX04,2,1,126,,False,69
2021,COM,CB015FTX04,3,1,168,,False,70
2021,COM,CB015FTX04,4,1,144,,False,70
