year,faculty,plan_code,degree_abbrev,specialisation,variant,study_year,credits_ideal,credits_unresolved_slots,credits_stated,stated_is_minimum,credit_delta,fee_ideal_zar,fee_estimated_component_zar,fee_slots_missing,fee_published_zar,fee_published_label,fee_match_method,fee_delta_pct
2021,COM,CB001ACC03,BCom,Financial Accounting: Accounting with Law,regular,1,149,0,149,False,0,68490,0,0,68490,BCom specialising in Financial Accounting: Accounting with Law Stream,label_match,0.0
2021,COM,CB001ACC03,BCom,Financial Accounting: Accounting with Law,regular,2,162,0,162,False,0,74090,0,0,74090,BCom specialising in Financial Accounting: Accounting with Law Stream,label_match,0.0
2021,COM,CB001ACC03,BCom,Financial Accounting: Accounting with Law,regular,3,144,0,144,False,0,65720,0,0,65720,BCom specialising in Financial Accounting: Accounting with Law Stream,label_match,0.0
2021,COM,CB001ACC04,BCom,Financial Accounting: Chartered Accountant,regular,1,149,0,149,False,0,68490,0,0,68490,Bachelor of Commerce specialising in Financial | Chartered Accounting Stream,label_match,0.0
2021,COM,CB001ACC04,BCom,Financial Accounting: Chartered Accountant,regular,2,180,0,162,False,18,84930,0,0,84930,Bachelor of Commerce specialising in Financial | Chartered Accounting Stream,label_match,0.0
2021,COM,CB001ACC04,BCom,Financial Accounting: Chartered Accountant,regular,3,144,0,144,False,0,67140,0,0,67140,Bachelor of Commerce specialising in Financial | Chartered Accounting Stream,label_match,0.0
2021,COM,CB001ACC08,,,regular,1,149,0,149,False,0,68490,0,0,,,unmatched,
2021,COM,CB001ACC08,,,regular,2,162,0,162,False,0,76560,0,0,,,unmatched,
2021,COM,CB001ACC08,,,regular,3,144,0,144,False,0,66910,0,0,,,unmatched,
2021,COM,CB001BUS06,BCom,Management Studies,regular,1,185,0,185,False,0,84890,0,0,84640,BCom in the field of Management Studies,label_match,0.3
2021,COM,CB001BUS06,BCom,Management Studies,regular,2,168,0,168,False,0,79630,17200,0,79630,BCom in the field of Management Studies,label_match,0.0
2021,COM,CB001BUS06,BCom,Management Studies,regular,3,43,0,144,False,-101,20544,11944,0,68800,BCom in the field of Management Studies,label_match,-70.1
2021,COM,CB001ECO02,BCom,Economics and Finance,regular,1,167,0,167,False,0,77030,0,0,77030,BCom specialising in Economics & Finance,label_match,0.0
2021,COM,CB001ECO02,BCom,Economics and Finance,regular,2,150,0,150,True,0,70520,0,0,70520,BCom specialising in Economics & Finance,label_match,0.0
2021,COM,CB001ECO02,BCom,Economics and Finance,regular,3,144,0,144,False,0,68570,8600,0,68570,BCom specialising in Economics & Finance,label_match,0.0
2021,COM,CB001ECO03,BCom,Economics with Law,regular,1,149,0,149,False,0,68490,0,0,68490,BCom specialising in Economics with Law,label_match,0.0
2021,COM,CB001ECO03,BCom,Economics with Law,regular,2,162,0,162,True,0,73370,0,0,73370,BCom specialising in Economics with Law,label_match,0.0
2021,COM,CB001ECO03,BCom,Economics with Law,regular,3,144,0,162,False,-18,65820,0,0,65820,BCom specialising in Economics with Law,label_match,0.0
2021,COM,CB001ECO04,BCom,Economics and Statistics,regular,1,167,0,167,False,0,77030,0,0,76780,BCom specialising in Economics & Statistics,label_match,0.3
2021,COM,CB001ECO04,BCom,Economics and Statistics,regular,2,210,0,156,False,54,97540,0,0,72750,BCom specialising in Economics & Statistics,label_match,34.1
2021,COM,CB001ECO04,BCom,Economics and Statistics,regular,3,198,1,180,False,18,92830,0,1,84820,BCom specialising in Economics & Statistics,label_match,9.4
2021,COM,CB001INF01,BCom,Information Systems,regular,1,149,0,149,False,0,68000,0,0,67750,BCom specialising in Information Systems,label_match,0.4
2021,COM,CB001INF01,BCom,Information Systems,regular,2,126,0,126,False,0,60010,0,1,77210,BCom specialising in Information Systems,label_match,-22.3
2021,COM,CB001INF01,BCom,Information Systems,regular,3,156,0,156,False,0,77080,17200,0,77080,BCom specialising in Information Systems,label_match,0.0
2021,COM,CB001INF06,BCom,Information Systems and Computer Science,regular,1,149,0,149,False,0,68180,0,0,68180,BCom specialising in Information Systems & Computer Science,label_match,0.0
2021,COM,CB001INF06,BCom,Information Systems and Computer Science,regular,2,162,0,162,False,0,74990,0,0,74990,BCom specialising in Information Systems & Computer Science,label_match,0.0
