year,faculty,plan_code,programme_code,dept_code,degree_abbrev,degree_name,specialisation,variant,study_year,table_index,seq,course_code,course_code_raw,course_title,nqf_credits,nqf_level,requirement,choice_group,choice_member,choice_pick_n,choice_note,is_minimum,ideal_student,credits_inferred,fee_zar,fee_source,in_catalogue,source_page,final_included,resolution_class,resolution_ref,final_note
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,1,STA3041F,STA3041F,Markov Processes & Time Series,36,7,core,,,,,False,True,False,16610,exact,True,17,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,2,STA3045F,STA3045F,Stochastic Processes and Distribution,36,7,core,,,,,False,True,False,16610,exact,True,17,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,3,STA3047S,STA3047S,Introduction to Machine Learning,6,7,core,,,,,False,True,False,2780,exact,True,17,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,4,STA3048S,STA3048S,Statistical Modelling,30,7,core,,,,,False,True,False,13850,exact,True,17,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,5,BUS3018F,BUS3018F,Actuarial Science II: Models,18,7,core,,,,,False,True,False,9710,exact,True,17,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,6,BUS3024S,BUS3024S,Actuarial Science II: Contingencies,18,7,core,,,,,False,True,False,9610,exact,True,17,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,7,ECO1010F,ECO1010F/S,Microeconomics 1010,18,5,core,,,,,False,True,False,8600,exact,False,17,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,8,ECO1011F,ECO1011F/S,Macroeconomics 1011,18,5,core,,,,,False,True,False,8600,exact,False,17,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,9,ACC1006F,ACC1006F/S,Financial Accounting,18,5,core,,,,,False,True,False,8600,exact,False,17,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,10,ACC2011S,ACC2011S,Financial Reporting I,18,6,core,,,,,False,True,False,8600,exact,True,17,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,11,BUS2016H,BUS2016H,Actuarial Science: Financial Mathematics,18,6,core,,,,,False,True,False,9380,exact,True,17,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,12,FTX2024S,FTX2024S,Financial Management or an approved elective,18,6,core,,,,,False,True,False,8600,exact,True,17,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,13,STA2004F,STA2004F,Statistical Theory and Inference,24,6,core,,,,,False,True,False,11060,exact,True,17,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,14,STA2005S,STA2005S,Linear Models,24,6,core,,,,,False,True,False,11060,exact,True,17,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,15,MAM3000W,MAM3000W,Mathematics 3000*,72,7,core,,,,,False,True,False,33800,exact,False,18,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,16,FTX3044F,FTX3044F,Finance IIA,18,7,core,,,,,False,True,False,8600,exact,True,18,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,17,FTX3045S,FTX3045S,Finance IIB,18,7,core,,,,,False,True,False,8600,exact,True,18,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,18,ECO3009F,ECO3009F,Natural Resource Economics,18,7,core,,,,,False,True,False,8600,exact,True,18,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,19,ECO3016F,ECO3016F,History of Economic Thought,18,7,core,,,,,False,True,False,8600,exact,True,18,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,20,ECO3020F,ECO3020F,Advanced Macro & Micro Economics,18,7,core,,,,,False,True,False,8600,exact,True,18,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,21,ECO3021S,ECO3021S,Quantitative Methods in Economics,18,7,core,,,,,False,True,False,8600,exact,True,18,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,22,ECO3022S,ECO3022S,Advanced Labour Economics,18,7,core,,,,,False,True,False,8600,exact,True,18,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,23,ECO3023S,ECO3023S,Public Sector Economics,18,7,core,,,,,False,True,False,600,exact,True,18,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,24,ECO3024F,ECO3024F,International Trade and Finance,18,7,core,,,,,False,True,False,8600,exact,True,18,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,25,ECO3025S,ECO3025S,Applied International Trade Bargaining,18,7,core,,,,,False,True,False,8600,exact,True,18,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,26,GSB3002F,GSB3002F/S,Leadership and Communication,20,7,core,,,,,False,True,False,,none,False,19,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,27,GSB3003F,GSB3003F/S,Economics of Emerging Markets,20,7,core,,,,,False,True,False,,none,False,19,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,28,GSB3004F,GSB3004F/S,Finance and Accounting Management,20,7,core,,,,,False,True,False,,none,False,19,True,none,,
2021,COM,CU020BUS01,CU020,BUS01,AdvDip,Advanced Diploma,Actuarial Science,regular,1,1,29,GSB3005F,GSB3005F/S,Marketing Management,15,7,core,,,,,False,True,False,,none,False,19,True,none,,
