year,faculty_section,programme_label,study_year,fee_zar,margin_note,source_page
2025,Commerce,Bachelor of Commerce specialising in Financial Accounting General Accounting Stream,1,91190,Regular,46
2025,Commerce,Bachelor of Commerce specialising in Financial Accounting General Accounting Stream,2,72930,curriculum -no repeat,46
2025,Commerce,Bachelor of Commerce specialising in Financial Accounting General Accounting Stream,3,110560,courses,46
2025,Commerce,Bachelor of Commerce specialising in Financial | Chartered Accounting Stream,1,91190,,46
2025,Commerce,Bachelor of Commerce specialising in Financial | Chartered Accounting Stream,2,83090,,46
2025,Commerce,Bachelor of Commerce specialising in Financial | Chartered Accounting Stream,3,121280,,46
2025,Commerce,BCom specialising in Actuarial Science,1,103890,,46
2025,Commerce,BCom specialising in Actuarial Science,2,106500,,46
2025,Commerce,BCom specialising in Actuarial Science,3,94060,,46
2025,Commerce,BCom specialising in Actuarial Science Quantitative Finance Stream,1,103890,,46
2025,Commerce,BCom specialising in Actuarial Science Quantitative Finance Stream,2,106500,,46
2025,Commerce,BCom specialising in Actuarial Science Quantitative Finance Stream,3,101940,,46
2025,Commerce,BCom specialising in Financial Accounting: Accounting with Law Stream,1,76430,,46
2025,Commerce,BCom specialising in Financial Accounting: Accounting with Law Stream,2,89890,,46
2025,Commerce,BCom specialising in Financial Accounting: Accounting with Law Stream,3,79730,,46
2025,Commerce,BCom specialising in Economics & Finance,1,78090,,46
2025,Commerce,BCom specialising in Economics & Finance,2,64710,,46
2025,Commerce,BCom specialising in Economics & Finance,3,83240,,46
2025,Commerce,BCom specialising in Economics & Statistics,1,78020,,46
2025,Commerce,BCom specialising in Economics & Statistics,2,77840,,46
2025,Commerce,BCom specialising in Economics & Statistics,3,82040,,46
2025,Commerce,BCom specialising in Economics with Law,1,78090,,47
2025,Commerce,BCom specialising in Economics with Law,2,90040,,47
2025,Commerce,BCom specialising in Economics with Law,3,90320,,47
2025,Commerce,BCom specialising in Information Systems,1,88760,,47
2025,Commerce,BCom specialising in Information Systems,2,83250,,47
2025,Commerce,BCom specialising in Information Systems,3,93510,,47
2025,Commerce,BCom specialising in Information Systems & Computer Science,1,99590,,47
2025,Commerce,BCom specialising in Information Systems & Computer Science,2,91250,,47
2025,Commerce,BCom specialising in Information Systems & Computer Science,3,82040,,47
2025,Commerce,BCom specialising in Information Systems & Finance,1,99960,,47
2025,Commerce,BCom specialising in Information Systems & Finance,2,93160,,47
2025,Commerce,BCom specialising in Information Systems & Finance,3,86210,,47
2025,Commerce,BCom in the field of Management Studies,1,89890,,47
2025,Commerce,BCom in the field of Management Studies,2,118700,,47
2025,Commerce,BCom in the field of Management Studies,3,73080,,47
2025,Commerce,"BCom specialising in Philosophy, Politics & Economics",1,76520,,47
2025,Commerce,"BCom specialising in Philosophy, Politics & Economics",2,86730,,47
2025,Commerce,"BCom specialising in Philosophy, Politics & Economics",3,92080,,47
2025,Commerce,Bachelor of Business Science BBusSc specialising in Actuarial Science,1,103890,,47
2025,Commerce,Bachelor of Business Science BBusSc specialising in Actuarial Science,2,106500,,47
2025,Commerce,Bachelor of Business Science BBusSc specialising in Actuarial Science,3,104500,,47
2025,Commerce,Bachelor of Business Science BBusSc specialising in Actuarial Science,4,85980,,47
2025,Commerce,BBusSc specialising in Actuarial Science: Quantitative Finance Stream,1,103890,,47
2025,Commerce,BBusSc specialising in Actuarial Science: Quantitative Finance Stream,2,106500,,47
2025,Commerce,BBusSc specialising in Actuarial Science: Quantitative Finance Stream,3,112380,,47
2025,Commerce,BBusSc specialising in Actuarial Science: Quantitative Finance Stream,4,73260,,47
2025,Commerce,BBusSc specialising in Finance (Non CA Option),1,88530,,47
2025,Commerce,BBusSc specialising in Finance (Non CA Option),2,95750,,47
2025,Commerce,BBusSc specialising in Finance (Non CA Option),3,82780,,47
2025,Commerce,BBusSc specialising in Finance (Non CA Option),4,73370,,47
2025,Commerce,BBusSc specialising in Finance with Accounting (CA Option),1,92020,,48
2025,Commerce,BBusSc specialising in Finance with Accounting (CA Option),2,103690,,48
2025,Commerce,BBusSc specialising in Finance with Accounting (CA Option),3,103200,,48
2025,Commerce,BBusSc specialising in Finance with Accounting (CA Option),4,104390,,48
2025,Commerce,BBusSc specialising in Analytics,1,98370,,48
2025,Commerce,BBusSc specialising in Analytics,2,105280,,48
2025,Commerce,BBusSc specialising in Analytics,3,136500,,48
2025,Commerce,BBusSc specialising in Analytics,4,76220,,48
2025,Commerce,BBusSc specialising in Computer Science,1,51690,,48
2025,Commerce,BBusSc specialising in Computer Science,2,96470,,48
2025,Commerce,BBusSc specialising in Computer Science,3,82040,,48
2025,Commerce,BBusSc specialising in Computer Science,4,77300,,48
2025,Commerce,BBusSc specialising in Economics,1,78090,,48
2025,Commerce,BBusSc specialising in Economics,2,88560,,48
2025,Commerce,BBusSc specialising in Economics,3,113820,,48
2025,Commerce,BBusSc specialising in Economics,4,89170,,48
2025,Commerce,BBusSc specialising in Economics with Law,1,78090,,48
2025,Commerce,BBusSc specialising in Economics with Law,2,93290,,48
2025,Commerce,BBusSc specialising in Economics with Law,3,90040,,48
2025,Commerce,BBusSc specialising in Economics with Law,4,99610,,48
2025,Commerce,BBusSc specialising in Information Systems,1,88530,,48
2025,Commerce,BBusSc specialising in Information Systems,2,85690,,48
2025,Commerce,BBusSc specialising in Information Systems,3,93510,,48
2025,Commerce,BBusSc specialising in Information Systems,4,85820,,48
2025,Commerce,BBusSc specialising in Marketing,1,79450,,48
2025,Commerce,BBusSc specialising in Marketing,2,95750,,48
2025,Commerce,BBusSc specialising in Marketing,3,93220,,48
2025,Commerce,BBusSc specialising in Marketing,4,92410,,48
2025,Commerce,BBusSc specialising in Organisational Psychology,1,82670,,48
2025,Commerce,BBusSc specialising in Organisational Psychology,2,77400,,48
2025,Commerce,BBusSc specialising in Organisational Psychology,3,90490,,48
2025,Commerce,BBusSc specialising in Organisational Psychology,4,87370,,48
2025,Commerce,Bachelor of Commerce Academic Development specialising in Financial Accounting Chartered Accounting Stream,1,71670,,48
2025,Commerce,Bachelor of Commerce Academic Development specialising in Financial Accounting Chartered Accounting Stream,2,72860,,48
2025,Commerce,Bachelor of Commerce Academic Development specialising in Financial Accounting Chartered Accounting Stream,3,89980,,49
2025,Commerce,Bachelor of Commerce Academic Development specialising in Financial Accounting Chartered Accounting Stream,4,83070,,49
2025,Commerce,BCom Academic Development specialising in Financial Accounting General Accounting Stream,1,71670,,49
2025,Commerce,BCom Academic Development specialising in Financial Accounting General Accounting Stream,2,72860,,49
2025,Commerce,BCom Academic Development specialising in Financial Accounting General Accounting Stream,3,72500,,49
2025,Commerce,BCom Academic Development specialising in Financial Accounting General Accounting Stream,4,58940,,49
2025,Commerce,BCom Academic Development specialising in Actuarial Science,1,63560,,49
2025,Commerce,BCom Academic Development specialising in Actuarial Science,2,62500,,49
2025,Commerce,BCom Academic Development specialising in Actuarial Science,3,85620,,49
2025,Commerce,BCom Academic Development specialising in Actuarial Science,4,94060,,49
2025,Commerce,BCom Academic Development specialising in Actuarial Science Quantitative Finance Stream,1,63560,,49
2025,Commerce,BCom Academic Development specialising in Actuarial Science Quantitative Finance Stream,2,72040,,49
2025,Commerce,BCom Academic Development specialising in Actuarial Science Quantitative Finance Stream,3,76080,,49
2025,Commerce,BCom Academic Development specialising in Actuarial Science Quantitative Finance Stream,4,101940,,49
2025,Commerce,BCom Academic Development specialising in Economics & Finance,1,57740,,49
2025,Commerce,BCom Academic Development specialising in Economics & Finance,2,52060,,49
2025,Commerce,BCom Academic Development specialising in Economics & Finance,3,65330,,49
2025,Commerce,BCom Academic Development specialising in Economics & Finance,4,73080,,49
2025,Commerce,BCom Academic Development specialising in Economics & Statistics,1,58640,,49
2025,Commerce,BCom Academic Development specialising in Economics & Statistics,2,51160,,49
2025,Commerce,BCom Academic Development specialising in Economics & Statistics,3,68300,,49
2025,Commerce,BCom Academic Development specialising in Economics & Statistics,4,71600,,49
2025,Commerce,BCom Academic Development specialising in Economics with Law,1,58640,,49
2025,Commerce,BCom Academic Development specialising in Economics with Law,2,72590,,49
2025,Commerce,BCom Academic Development specialising in Economics with Law,3,69440,,49
2025,Commerce,BCom Academic Development specialising in Economics with Law,4,59000,,49
2025,Commerce,BCom Academic Development specialising in Information Systems,1,88760,,50
2025,Commerce,BCom Academic Development specialising in Information Systems,2,73110,,50
2025,Commerce,BCom Academic Development specialising in Information Systems,3,62470,,50
2025,Commerce,BCom Academic Development specialising in Information Systems,4,74940,,50
2025,Commerce,BCom Academic Development specialising in Information Systems & Computer Science,1,68710,,50
2025,Commerce,BCom Academic Development specialising in Information Systems & Computer Science,2,71390,,50
2025,Commerce,BCom Academic Development specialising in Information Systems & Computer Science,3,61181,,50
2025,Commerce,BCom Academic Development specialising in Information Systems & Computer Science,4,71600,,50
2025,Commerce,BCom Academic Development specialising in Information Systems & Finance,1,69080,,50
2025,Commerce,BCom Academic Development specialising in Information Systems & Finance,2,62670,,50
2025,Commerce,BCom Academic Development specialising in Information Systems & Finance,3,73010,,50
2025,Commerce,BCom Academic Development specialising in Information Systems & Finance,4,64430,,50
2025,Commerce,"BCom Academic Development specialising in Philosophy, Politics & Economics",1,60860,,50
2025,Commerce,"BCom Academic Development specialising in Philosophy, Politics & Economics",2,66790,,50
2025,Commerce,"BCom Academic Development specialising in Philosophy, Politics & Economics",3,56480,,50
2025,Commerce,"BCom Academic Development specialising in Philosophy, Politics & Economics",4,60760,,50
2025,Commerce,BCom Academic Development specialising in Management Studies,1,68780,,50
