year,faculty,plan_code,plan_code_raw,programme_code,dept_code,degree_name,degree_abbrev,specialisation,variant,source_page,notes
2025,COM,CU020BUS01,,CU020,BUS01,Advanced Diploma,AdvDip,Actuarial Science,regular,20,"Convener: P Botha | This programme is also known as the “Actuarial Conversion Course” | Entrance requirements: | Candidates are required to have completed an undergraduate degree majoring in either Mathematics | or Mathematical Statistics from an accredited university, with at least two years of pure | Mathematics and Mathematical Statistics. Students are also required to have passed or have been | exempted from the Actuarial Society's A211 exam. It is essential that candidates have a solid | grounding in Mathematics and Mathematical Statistics (up to NQF 7), meeting the minimum entry | requirements for the programme. The minimum entry requirements are: 65% for | STA1006S/STA1106H - Mathematical Statistics 1 and 60% average for MAM2010F, MAM2011F, | MAM2012S and MAM2014S. | Students are also required to have passed or been exempted from the Actuarial Society's A211 exam. | Programme outline: | The UCT Advanced Diploma in Actuarial Science is an intensive programme designed to provide | graduates from disciplines other than Actuarial Science, who have demonstrated strong | mathematical and statistical skills, entry into an actuarial career and the actuarial profession. | Duration: | The programme extends over one year of full-time study, but students wishing to obtain additional | exemptions from the Actuarial Society of South Africa, and wishing to gain later acceptance into the | BCom Hons programme specialising in Actuarial Science are advised to complete the programme | over two years. | Prescribed curriculum | Note: Graduates accepted into the conversion course who have already completed the STA3000, or | equivalent, courses above may be exempted from these, but would have to take a number of additional | electives at NQF Level 7 to meet the number of courses required at level 7 to graduate with the | Advanced Diploma. Approved electives at NQF level 7 include: | *A co-requisite for MAM3000W is MAM1019H. MAM3000W counts as 2 level 7 courses. | Assessment: | Students must pass every prescribed course with at least 50%, as well as two of the elective courses | with a mark of at least 50%, to qualify for the award of the Diploma. | Readmission rules: | At least two courses need to be passed in the first year. Any course may be repeated only once. | Distinction rules: | The mark for determining a distinction will be based on the average (without rounding) of the four | best results of the five prescribed courses. Students with a mark equal to or in excess of 75% will be | awarded the diploma with distinction. | Further qualification specific notes: | A candidate may obtain credits in respect of equivalent courses completed elsewhere for one | prescribed course and up to two elective courses."
2025,COM,CU021GSB48,,CU021,GSB48,Advanced Diploma,AdvDip,Management Development,regular,21,"Convener: J Mukuddem-Petersen | Entrance requirements: | Applicants must have: | At least three years of relevant work experience, supported by a documented track record including a | curriculum vitae, referee reports and personal motivations; and | An NQF level 6 qualification. | Applicants who do not hold an NQF level 6 qualification may apply through Recognition of Prior | Learning (RPL), which requires that they: |  Hold a National Senior Certificate (NSC); |  Have at least five years of proven relevant work experience, supported by a documented | track record including a curriculum vitae, referee reports and personal motivations; and |  Demonstrate competencies at an NQF 6 academic level through a portfolio of evidence | (POL) that will be assessed by an RPL assessor. | Programme outline: | The Advanced Diploma in Management Development aims to equip students with a broad | understanding of the fundamental aspects of the management process, in order to accelerate them | towards more senior management positions. The qualification prepares graduates who can make a | significant contribution to human management needs within their organisations, through the | development of innovative and strategic leadership, with a focus on emerging markets. It aims to equip | graduates with the confidence and ability to apply and integrate the acquired skills, theories, concepts | and methods appropriately and holistically with high levels of professional responsibility in the | organisational and environmental context they operate in. | Duration: | One year (modular). | Prescribed curriculum | The Advanced Diploma in Management Development is accredited with 120 NQF credits. Students | must take all 7 compulsory courses. | Compulsory courses | GSB3002F/S/X/Z Leadership and Communication ................................................... 20 7 | GSB3003F/S/X/Z Economics of Emerging Markets ................................................. 20 7 | GSB3004F/S/X/Z Finance and Accounting Management ......................................... 20 7 | GSB3005F/S/X/Z Marketing Management ............................................................... 15 7 | GSB3006F/S/X/Z Human Resources Management ................................................... 15 7 | GSB3007F/S/X/Z Operations Management .............................................................. 15 7 | GSB3008F/S/X/Z Strategy and Innovation Lab ........................................................ 15 7 | Assessment: | Courses are assessed by means of individual and group assessments. In order to pass a course, students | must obtain a DP as stated in the individual course outline as well as a minimum of 50% on individual | assessment components. | Readmission rules: | A student is permitted to reregister for a compulsory course that they have failed only once, and for a | maximum of 3 courses. | Distinction rules: | The degree will be awarded with distinction if the student obtains a weighted average mark of at least | 75% in their coursework. | Graduation rules: | Students must obtain 120 credits by passing all seven courses required for the Advanced Diploma in | Management Development."
2025,COM,CU017ACC01,,CU017,ACC01,Advanced Diploma,AdvDip,Accounting,regular,23,"Convener: A Dhansay and R Carpenter | Entrance requirements: | A graduate of this university who has completed ACC2012W, ACC2018H, ACC2022H, ACC2023H, | CML1001F/CML1004S, and FTX2024F/S. Applicants must have completed ACC2012W, | ACC2018H, ACC2022H, and ACC2023H (or their entrance exam equivalents) with a 55% weighted | average over a period not exceeding two years prior to registering for the advanced diploma. | Graduates who have not completed INF2004F will be required to complete INF2004F concurrently | with the seven prescribed courses of the programme. | Graduates of other universities who have completed the equivalent of the above courses will be | required to write entrance exams in ACC2012W, ACC2018H, ACC2022H, and ACC2023H in order | to satisfy the 55% weighted average requirement. | Programme outline: | This programme aims to replicate the final year of the Bachelor of Commerce specialising in | Financial Accounting: Chartered Accounting for graduates of other programmes who meet the | requirements for the prescribed courses. Successful completion of this programme may allow | admission into the Postgraduate Diploma in Accounting as part of the pathway to attaining the | CA(SA) designation as regulated by the South African Institute of Chartered Accountants. | Duration: | One year, full time. | Prescribed curriculum | Students are required to register for all required courses in the year of first registration. | Assessment: | Refer to individual course outlines in this handbook for details around assessments and DP | requirements. | Students are required to achieve at least 50% in each course in order to attain the qualification. | DP Requirements | Refer to individual course outlines in this Handbook for details around assessments and DP | requirements. | Readmission rules: | No students will be readmitted to the programme if they have failed any course in the programme | twice. | Distinction rules: | To qualify for a distinction, a candidate must achieve an overall average for Financial Reporting, | Managerial Accounting, Governance and Taxation of at least 75% and not less than 60% for any one | individual course. In applying the distinction rules, only passes at the first attempt are taken into | account. | Bachelor of Business Science in ACTUARIAL SCIENCE"
2025,COM,CB003BUS01,,CB003,BUS01,Bachelor of Business Science,BBusSc,Actuarial Science,regular,39,"(i) Students failing in their first year to achieve the requirements for entry to BUS2016H can expect | to take an additional year over their degree and should explore alternatives. | (ii) CB019 readmission rules apply to CB026, however if a student fails 2 courses in the first semester | of the first year, they will be transferred into the extended programme (CB018BUS01). | Bachelor of Business Science in Actuarial Science specialising in Quantitative | Finance"
2025,COM,CB003BUS09,,CB003,BUS09,Bachelor of Business Science,BBusSc,Actuarial Science: Quantitative Finance,regular,40,"* STA1006S is compulsory for students following the Mathematical Statistics option in the second | and subsequent years. | If students move from MAM1031F/MAM1032S to MAM1005H they will have to deregister from | STA1006S and register for it concurrently with MAM1006H. | **The STA4010W course starts two weeks before the undergraduate academic year. | Unless otherwise agreed by the Head of the Department of Statistical Sciences, candidates will be | required to obtain at least a 65% average for their 3rd year Statistics courses at the first attempt in | order to be accepted to STA4010W. | *** MAM2010F and MAM2011F are compulsory courses. Students must choose 2 courses from | MAM2012S, MAM2013S or MAM2014S. | Bachelor of Business Science specialising in Statistics and Data Sciences"
2025,COM,CB004STA13,,CB004,STA13,Bachelor of Business Science,BBusSc,Statistics and Data Sciences,regular,41,"* STA1006S is compulsory for students following the Mathematical Statistics option in the second | and subsequent years. | If students move from MAM1031F/MAM1032S to MAM1005H they will have to deregister from | STA1006S and register for it concurrently with MAM1006H. | **The STA4010W course starts two weeks before the undergraduate academic year. | Candidates will be required to obtain at least a 65% average for their 3rd year Statistics courses at the | first attempt in order to be accepted to STA4010W. | *** MAM2010F and MAM2011F are compulsory courses. Students must choose 2 courses from | MAM2012S, MAM2013S or MAM2014S | Bachelor of Business Science specialising in Finance, Investment and Banking"
2025,COM,CB004FTX05,,CB004,FTX05,Bachelor of Business Science,BBusSc,"Finance, Investment and Banking",regular,43,Candidates will be required to obtain at least a 60% average for their 3rd year finance courses in | order to be accepted into FTX4000 level courses. | Bachelor of Business Science specialising in FINANCE with ACCOUNTING
2025,COM,CB004FTX04,,CB004,FTX04,Bachelor of Business Science,BBusSc,Finance with Accounting,regular,44,"(i) This curriculum is designed to facilitate entry into the Accounting profession. After graduating, | candidates may apply for admission to the Postgraduate Diploma in Accounting. Passing the diploma | is a prerequisite for entry to the SAICA Initial Test of Competence. | (ii) Students may replace Financial Reporting III (ACC3009W) with Financial Reporting & Analysis | (ACC3020W), but this option will not meet the requirements for admission to the Postgraduate | Diploma in Accounting. | (iii) Candidates will be required to obtain at least a 60% average for their 3rd year finance courses in | order to be accepted into FTX4000. | Bachelor of Business Science specialising in COMPUTER SCIENCE"
2025,COM,CB004CSC05,,CB004,CSC05,Bachelor of Business Science,BBusSc,Computer Science,regular,45,"** One of these options may be replaced by an elective from another department (with approval of | the Computer Science Honours convenor). Not all electives will be offered each year. | Unless otherwise agreed by the Head of the School, candidates will be expected to obtain an overall | average of 65% for their third year Computer Science major courses and at least 55% for each course | to be considered for a place in 4th year Computer Science courses. Places may be limited. Students | who do not qualify for admission to 4th year Computer Science courses will be required to change | their specialisation or degree in consultation with the Head of Department and the Deputy Dean | Undergraduate Studies of Commerce. | Bachelor of Business Science specialising in INFORMATION SYSTEMS"
2025,COM,CB004INF01,,CB004,INF01,Bachelor of Business Science,BBusSc,Information Systems,regular,47,"Students who complete CSC1015F can complete CSC1016S in first year in substitution for INF1003F | in second year. | Unless otherwise agreed by the Head of Department, candidates will be expected to obtain an overall | credit weighted average of 65% for their third year Information Systems major courses and at least | 55% for each course. to be considered for a place in the 4th year Information System courses. Places | may be limited. Students who do not qualify for 4th year Information Systems courses will be required | to change their specialisation or degree in consultation with the Head of Department. | Students shall not repeat the following courses: INF4024W and INF4027W. | Bachelor of Business Science specialising in ECONOMICS"
